variable,value,label,comment
country,Brazil,Brazil,LATAM Region
country,Mexico,Mexico,LATAM Region
country,Argentina,Argentina,LATAM Region
country,Colombia,Colombia,LATAM Region
country,Chile,Chile,LATAM Region
country,Peru,Peru,LATAM Region
country,Venezuela,Venezuela,LATAM Region
country,Ecuador,Ecuador,LATAM Region
country,Guatemala,Guatemala,LATAM Region
country,Cuba,Cuba,LATAM Region
country,Haiti,Haiti,LATAM Region
country,Dominican Republic,Dominican Republic,LATAM Region
country,Honduras,Honduras,LATAM Region
country,Paraguay,Paraguay,LATAM Region
country,Nicaragua,Nicaragua,LATAM Region
country,El Salvador,El Salvador,LATAM Region
country,Costa Rica,Costa Rica,LATAM Region
country,Panama,Panama,LATAM Region
country,Uruguay,Uruguay,LATAM Region
country,Puerto Rico,Puerto Rico,LATAM Region
