country,year,prevalence_rate,incidence_rate,case_numbers
Argentina,1990,2318.95,119.62,1702087
Argentina,1991,2394.07,123.36,3739802
Argentina,1992,2355.91,115.92,1826080
Argentina,1993,2268.04,123.99,2124798
Argentina,1994,2397.61,116.54,2516396
Argentina,1995,2390.87,123.41,3039636
Argentina,1996,2446.2,118.73,1848801
Argentina,1997,2384.08,124.74,1541327
Argentina,1998,2418.2,121.96,3005256
Argentina,1999,2411.16,122.38,3601754
Argentina,2000,2594.63,128.06,2016755
Argentina,2001,2547.13,130.52,4795758
Argentina,2002,2394.7,113.64,2172053
Argentina,2003,2479.94,122.26,3258753
Argentina,2004,2493.38,126.95,3973220
Argentina,2005,2554.87,124.45,1721482
Argentina,2006,2517.23,134.43,1498600
Argentina,2007,2571.39,120.43,3744812
Argentina,2008,2572.35,130.13,4038243
Argentina,2009,2688.86,131.7,3336052
Argentina,2010,2559.15,127.95,1693743
Argentina,2011,2415.2,128.82,3050053
Argentina,2012,2657.48,126.04,4340539
Argentina,2013,2531.56,124.28,1877988
Argentina,2014,2742.74,140.98,4956654
Argentina,2015,2769.05,135.2,5106509
Argentina,2016,2574.39,126.82,2936507
Argentina,2017,2597.65,137.55,2164258
Argentina,2018,2570.75,125.88,2531685
Argentina,2019,2622.84,139.82,5134656
Argentina,2020,2812.35,131.6,2675434
Argentina,2021,2622.96,128.03,3289238
Argentina,2022,2574.9,125.56,2212722
Argentina,2023,2604.35,128.63,2247766
Argentina,2024,2734.3,141.82,4353891
Argentina,2025,2748.52,140.18,3583146
Argentina,2026,2562.37,133.27,1998081
Brazil,1990,2041.23,101.81,1714111
Brazil,1991,2079.04,99.63,2245581
Brazil,1992,2050.1,100.64,1373995
Brazil,1993,2065.68,108.55,3077811
Brazil,1994,2161.66,118.97,1865032
Brazil,1995,1998.43,111.07,2046019
Brazil,1996,2145.21,113.4,1343354
Brazil,1997,2098.4,110.19,1078150
Brazil,1998,2097.63,99.96,3225832
Brazil,1999,2181.18,104.05,1866811
Brazil,2000,2161.81,114.1,3834701
Brazil,2001,2124.73,110.73,2234310
Brazil,2002,2176.53,107.03,3148807
Brazil,2003,2345.82,112.52,2905948
Brazil,2004,2089.96,113.39,1121208
Brazil,2005,2206.39,115.93,4302420
Brazil,2006,2252.33,119.23,2427217
Brazil,2007,2224.17,112.56,2969710
Brazil,2008,2330.79,125.38,1505139
Brazil,2009,2305.5,114.49,3714509
Brazil,2010,2232.23,122.52,2099159
Brazil,2011,2330.96,118.67,4358577
Brazil,2012,2335.14,114.8,3444202
Brazil,2013,2328.84,118.34,2345127
Brazil,2014,2259.17,109.86,1251382
Brazil,2015,2192.75,117.49,3039699
Brazil,2016,2134.05,108.86,2738763
Brazil,2017,2411.15,114.43,1514254
Brazil,2018,2314.7,120.58,3370535
Brazil,2019,2397.1,123.62,2359787
Brazil,2020,2407.11,114.72,1486832
Brazil,2021,2165.04,120.09,1645305
Brazil,2022,2266.72,106.08,3563048
Brazil,2023,2442.51,131.04,3462449
Brazil,2024,2316.9,112.87,3792233
Brazil,2025,2208.94,122.0,1428636
Brazil,2026,2333.01,120.96,2684775
Chile,1990,2392.08,102.31,3441706
Chile,1991,2428.78,109.68,1807991
Chile,1992,2399.79,105.51,3308507
Chile,1993,2346.84,113.2,3437965
Chile,1994,2471.18,106.91,2666780
Chile,1995,2447.24,109.32,2394537
Chile,1996,2448.09,106.89,3782550
Chile,1997,2495.63,111.49,4255604
Chile,1998,2488.65,104.21,4256226
Chile,1999,2443.27,105.24,4067109
Chile,2000,2560.23,106.64,4177816
Chile,2001,2465.46,112.61,4289119
Chile,2002,2484.95,113.82,1282871
Chile,2003,2567.65,110.7,4942969
Chile,2004,2697.21,120.11,3162927
Chile,2005,2577.73,104.6,4197996
Chile,2006,2570.2,114.92,3403698
Chile,2007,2543.11,116.66,1718126
Chile,2008,2544.94,117.21,1658493
Chile,2009,2487.82,111.2,4310869
Chile,2010,2697.47,114.31,5181498
Chile,2011,2677.35,127.04,1674018
Chile,2012,2577.62,126.53,4793171
Chile,2013,2523.96,111.64,3036305
Chile,2014,2595.57,115.16,3569052
Chile,2015,2691.77,118.69,4852983
Chile,2016,2590.12,118.96,5152911
Chile,2017,2577.11,112.65,3310677
Chile,2018,2693.14,129.75,3881721
Chile,2019,2707.41,125.24,3872133
Chile,2020,2623.83,109.52,2702622
Chile,2021,2638.8,123.24,4540568
Chile,2022,2814.72,130.97,3173212
Chile,2023,2867.62,126.86,4920356
Chile,2024,2918.95,124.43,3127179
Chile,2025,2926.76,131.75,3521004
Chile,2026,2722.41,120.82,4892395
Colombia,1990,2888.71,121.55,5538091
Colombia,1991,2810.75,112.67,1949924
Colombia,1992,2773.55,124.12,4181271
Colombia,1993,2805.05,120.15,4228219
Colombia,1994,2859.46,129.79,5084891
Colombia,1995,2916.83,123.45,3223746
Colombia,1996,2925.39,126.28,2397203
Colombia,1997,2770.9,129.44,3203752
Colombia,1998,2935.24,114.75,4917935
Colombia,1999,2942.67,125.68,5662518
Colombia,2000,2876.87,127.21,2552840
Colombia,2001,2918.1,127.28,2898041
Colombia,2002,2942.76,126.41,2040275
Colombia,2003,2839.48,126.51,2892017
Colombia,2004,3111.21,128.17,2359786
Colombia,2005,2875.97,122.39,1820643
Colombia,2006,2840.5,124.0,2972311
Colombia,2007,2978.38,128.73,5060619
Colombia,2008,3058.49,127.04,4962063
Colombia,2009,2915.6,120.35,3576807
Colombia,2010,3005.23,120.21,4872091
Colombia,2011,2968.17,120.68,5469782
Colombia,2012,2986.86,131.51,3497963
Colombia,2013,3009.88,127.34,3208307
Colombia,2014,2884.65,122.96,2859402
Colombia,2015,2978.75,132.29,4523693
Colombia,2016,3104.39,136.73,4053273
Colombia,2017,3084.32,142.57,2132409
Colombia,2018,3102.14,124.41,4207027
Colombia,2019,3062.55,133.04,2621056
Colombia,2020,2970.53,125.89,2201228
Colombia,2021,2984.31,127.9,5506489
Colombia,2022,2873.44,132.7,5670924
Colombia,2023,3034.39,129.66,5456617
Colombia,2024,3224.51,139.72,4846318
Colombia,2025,3415.35,153.1,3142013
Colombia,2026,3241.69,137.83,3689545
Mexico,1990,2431.4,93.69,3335528
Mexico,1991,2653.34,81.97,1532929
Mexico,1992,2494.24,94.33,3796873
Mexico,1993,2509.25,103.76,2804743
Mexico,1994,2550.05,91.84,1968256
Mexico,1995,2560.34,99.01,4513217
Mexico,1996,2516.27,94.56,1875839
Mexico,1997,2581.28,97.2,3315911
Mexico,1998,2562.81,97.87,4420583
Mexico,1999,2558.31,82.77,2435683
Mexico,2000,2553.36,96.01,4722084
Mexico,2001,2649.46,95.04,3805568
Mexico,2002,2589.9,96.24,2596005
Mexico,2003,2616.18,100.09,3401541
Mexico,2004,2678.39,101.47,2591560
Mexico,2005,2695.37,97.32,4892500
Mexico,2006,2706.69,94.21,1962016
Mexico,2007,2679.78,100.76,3917085
Mexico,2008,2640.91,101.85,2689883
Mexico,2009,2645.64,100.35,2913586
Mexico,2010,2709.04,112.53,3839198
Mexico,2011,2705.52,98.09,5096523
Mexico,2012,2785.72,97.28,3928060
Mexico,2013,2729.35,100.82,5153984
Mexico,2014,2862.75,103.73,3144738
Mexico,2015,2699.85,93.72,1368683
Mexico,2016,2766.93,88.93,5201233
Mexico,2017,2799.63,97.03,3298879
Mexico,2018,2654.23,99.1,2029371
Mexico,2019,2837.36,103.39,2961041
Mexico,2020,2780.93,108.49,5399463
Mexico,2021,2668.74,98.93,5324967
Mexico,2022,2794.43,106.48,4540790
Mexico,2023,2736.14,102.19,2150690
Mexico,2024,2818.53,93.28,1687069
Mexico,2025,3023.47,98.72,3510689
Mexico,2026,2773.01,106.93,2143236
Peru,1990,2903.45,111.21,3231830
Peru,1991,2891.31,114.24,4303378
Peru,1992,2837.1,114.73,4277896
Peru,1993,2882.31,117.97,2213089
Peru,1994,2890.36,119.0,2499463
Peru,1995,2934.63,122.16,3215696
Peru,1996,2899.01,116.66,5347233
Peru,1997,2814.21,128.46,5175347
Peru,1998,2905.11,119.03,3107123
Peru,1999,2997.73,115.69,3339823
Peru,2000,2879.32,120.38,5536004
Peru,2001,3049.37,124.64,5183272
Peru,2002,3080.57,126.76,2731949
Peru,2003,2880.48,122.5,2616803
Peru,2004,2852.88,124.23,3797945
Peru,2005,3011.04,129.11,1555183
Peru,2006,3044.71,130.79,4559626
Peru,2007,2968.69,127.62,3190478
Peru,2008,3027.79,128.01,4253222
Peru,2009,2927.2,120.93,3025288
Peru,2010,3134.29,121.27,3805268
