country,year,prevalence,incidence,n_cases
Brazil,1990,2.138,0.0922,27269
Brazil,1991,2.157,0.1029,33001
Brazil,1992,1.915,0.1087,13963
Brazil,1993,2.330,0.1042,25991
Brazil,1994,2.435,0.1067,14203
Brazil,1995,2.264,0.0992,45378
Brazil,1996,2.289,0.1086,37607
Brazil,1997,2.359,0.1138,17217
Brazil,1998,2.550,0.1064,9365
Brazil,1999,2.410,0.1033,3985
Brazil,2000,2.496,0.1000,28730
Brazil,2001,2.564,0.1030,42717
Brazil,2002,2.671,0.1001,23709
Brazil,2003,2.874,0.1033,21448
Brazil,2004,2.663,0.0954,45639
Brazil,2005,2.911,0.0977,12852
Brazil,2006,2.932,0.1144,3405
Brazil,2007,3.098,0.1011,19301
Brazil,2008,2.890,0.0993,1081
Brazil,2009,2.994,0.0965,29313
Brazil,2010,3.001,0.0771,36301
Brazil,2011,3.017,0.1094,6948
Brazil,2012,3.143,0.0933,6685
Brazil,2013,3.235,0.0936,49352
Brazil,2014,3.172,0.1052,7881
Brazil,2015,3.227,0.0773,39979
Brazil,2016,3.400,0.0941,49746
Brazil,2017,3.446,0.1036,46807
Brazil,2018,3.506,0.1079,44570
Brazil,2019,3.468,0.0955,45458
Brazil,2020,3.633,0.0992,19380
Brazil,2021,3.645,0.0912,18810
Brazil,2022,3.748,0.0892,39468
Brazil,2023,3.629,0.1173,14681
Brazil,2024,3.862,0.1099,15473
Brazil,2025,3.826,0.1098,42765
Brazil,2026,3.856,0.0909,14642
Mexico,1990,3.740,0.0943,1112
Mexico,1991,3.809,0.0897,11252
Mexico,1992,3.697,0.1055,15354
Mexico,1993,3.895,0.0920,36448
Mexico,1994,3.927,0.0902,6868
Mexico,1995,4.053,0.0924,10559
Mexico,1996,4.185,0.0913,28616
Mexico,1997,3.999,0.1150,39963
Mexico,1998,3.857,0.0951,24157
Mexico,1999,4.059,0.0982,6599
Mexico,2000,3.980,0.0979,23410
Mexico,2001,4.116,0.1184,18936
Mexico,2002,4.517,0.0984,44147
Mexico,2003,4.241,0.1048,38048
Mexico,2004,4.431,0.1015,34287
Mexico,2005,4.583,0.1036,24966
Mexico,2006,4.552,0.1057,15115
Mexico,2007,4.575,0.0855,44172
Mexico,2008,4.693,0.1127,8134
Mexico,2009,4.610,0.1149,5277
Mexico,2010,4.754,0.0941,20499
Mexico,2011,4.605,0.1019,38438
Mexico,2012,4.963,0.1008,8240
Mexico,2013,4.971,0.1062,38283
Mexico,2014,4.818,0.1072,42245
Mexico,2015,4.995,0.0894,20359
Mexico,2016,4.908,0.1023,27503
Mexico,2017,5.004,0.0899,44650
Mexico,2018,5.072,0.0963,18700
Mexico,2019,5.202,0.0836,30093
Mexico,2020,5.100,0.0756,5856
Mexico,2021,5.303,0.0768,9281
Mexico,2022,5.389,0.0991,40763
Mexico,2023,5.466,0.1133,31538
Mexico,2024,5.343,0.1021,23717
Mexico,2025,5.384,0.0931,7963
Mexico,2026,5.488,0.0845,36493
Argentina,1990,4.493,0.1060,22063
Argentina,1991,4.286,0.0995,35066
Argentina,1992,4.464,0.0978,32655
Argentina,1993,4.150,0.1058,17209
Argentina,1994,4.667,0.1018,5609
Argentina,1995,4.483,0.1001,8911
Argentina,1996,4.474,0.1112,10284
Argentina,1997,4.664,0.0951,39266
Argentina,1998,4.714,0.0980,40305
Argentina,1999,4.807,0.1058,36856
Argentina,2000,4.808,0.0908,12452
Argentina,2001,4.803,0.1135,42794
Argentina,2002,4.853,0.0800,25402
Argentina,2003,4.733,0.0902,17575
Argentina,2004,5.085,0.1029,14527
Argentina,2005,4.977,0.0910,12283
Argentina,2006,4.919,0.0918,33851
Argentina,2007,5.064,0.0889,34819
Argentina,2008,5.208,0.0969,31544
Argentina,2009,5.550,0.1141,36286
Argentina,2010,5.312,0.0877,3460
Argentina,2011,5.303,0.0989,10676
Argentina,2012,5.276,0.0883,20277
Argentina,2013,5.431,0.1149,32708
Argentina,2014,5.207,0.1152,8993
Argentina,2015,5.342,0.1048,49381
Argentina,2016,5.354,0.0961,24645
Argentina,2017,5.789,0.0918,8733
Argentina,2018,5.717,0.1062,26118
Argentina,2019,5.562,0.0927,30177
Argentina,2020,5.648,0.1085,16767
Argentina,2021,5.925,0.0816,4644
Argentina,2022,5.966,0.0717,38141
Argentina,2023,5.915,0.1081,21074
Argentina,2024,5.988,0.0870,16776
Argentina,2025,5.984,0.0830,32634
Argentina,2026,6.002,0.1083,28998
Colombia,1990,4.705,0.0816,9657
Colombia,1991,4.838,0.1141,22595
Colombia,1992,4.716,0.0982,43293
Colombia,1993,4.869,0.1045,1322
Colombia,1994,4.806,0.1118,15272
Colombia,1995,4.945,0.1003,5709
Colombia,1996,4.915,0.1011,36599
Colombia,1997,5.089,0.0938,5238
Colombia,1998,5.138,0.1098,39232
Colombia,1999,5.152,0.1048,46895
Colombia,2000,5.119,0.1067,27239
Colombia,2001,5.196,0.0938,27261
Colombia,2002,5.205,0.1042,6860
Colombia,2003,5.265,0.0956,27571
Colombia,2004,5.343,0.1107,24347
